Time (ms), Voltage (V), Raw reading,V*dt,,,,Resistance,1000
361706,0.16,32,0.00176,,,,,
361717,0.29,60,0.00319,,,,,
361729,0.36,73,0.00432,,,,,
361740,0.1,21,0.0011,,,,,
361751,0.19,38,0.00209,,,,,
361762,0.31,63,0.00341,,,,,
361774,0.15,31,0.0018,,,,,
361785,0.23,47,0.00253,,,,,
361795,0.2,41,0.002,,,,,
361806,0.26,54,0.00286,,,,,
361818,0.39,80,0.00468,,,,,
361829,0.34,70,0.00374,,,,,
361840,0.3,61,0.0033,,,,,
361851,0.19,38,0.00209,,,,,
361863,0.16,32,0.00192,,,,,
361874,0.26,53,0.00286,,,,,
361885,0.39,79,0.00429,,,,,
361896,0.36,74,0.00396,,,,,
361908,0.16,33,0.00192,,,,,
361919,0.3,62,0.0033,,,,,
361930,0.16,33,0.00176,,,,,
361942,0.33,67,0.00396,,,,,
361953,0.35,71,0.00385,,,,,
361964,0.09,19,0.00099,,,,,
361974,0.21,42,0.0021,,,,,
361986,0.3,61,0.0036,,,,,
361997,0.22,46,0.00242,,,,,
362008,0.28,58,0.00308,,,,,
362022,0.1,20,0.0014,,,,,
362034,0.28,58,0.00336,,,,,
362045,0.35,72,0.00385,,,,,
362056,0.31,64,0.00341,,,,,
362067,0.23,47,0.00253,,,,,
362079,0.24,50,0.00288,,,,,
362090,0.22,44,0.00242,,,,,
362101,0.32,65,0.00352,,,,,
362113,0.32,65,0.00384,,,,,
362124,0.32,65,0.00352,,,,,
362135,0.16,33,0.00176,,,,,
362145,0.25,52,0.0025,,,,,
362157,0.34,69,0.00408,,,,,
362168,0.32,65,0.00352,,,,,
362179,0.12,25,0.00132,,,,,
362190,0,0,0,,,,,
362202,0.18,36,0.00216,,,,,
362213,0.23,47,0.00253,,,,,
362224,0.32,66,0.00352,,,,,
362235,0.25,52,0.00275,,,,,
362247,0.3,61,0.0036,,,,,
362258,0.26,54,0.00286,,,,,
362269,0.31,64,0.00341,,,,,
362280,0.27,56,0.00297,,,,,
362291,0.24,50,0.00264,,,,,
362302,0.18,36,0.00198,,,,,
362313,0.32,66,0.00352,,,,,
362324,0.18,37,0.00198,,,,,
362336,0.27,55,0.00324,,,,,
362347,0.34,70,0.00374,,,,,
362358,0.38,77,0.00418,,,,,
362370,0.3,61,0.0036,,,,,
362381,0.36,74,0.00396,,,,,
362392,0.31,63,0.00341,,,,,
362406,0.11,23,0.00154,,,,,
362418,0.13,26,0.00156,,,,,
362429,0.32,66,0.00352,,,,,
362440,0.14,28,0.00154,,,,,
362451,0.39,80,0.00429,,,,,
362462,0.24,50,0.00264,,,,,
362473,0.24,49,0.00264,,,,,
362484,0.31,63,0.00341,,,,,
362496,0.3,61,0.0036,,,,,
362507,0.14,28,0.00154,,,,,
362518,0.33,68,0.00363,,,,,
362529,0.29,59,0.00319,,,,,
362541,0.17,35,0.00204,,,,,
362552,0.25,52,0.00275,,,,,
362563,0.34,69,0.00374,,,,,
362574,0.13,26,0.00143,,,,,
362586,0.17,34,0.00204,,,,,
362597,0.11,22,0.00121,,,,,
362608,0.14,29,0.00154,,,,,
362619,0.15,30,0.00165,,,,,
362631,0.11,22,0.00132,,,,,
362641,0.28,57,0.0028,,,,,
362652,0.31,63,0.00341,,,,,
362663,0.31,63,0.00341,,,,,
362675,0.27,55,0.00324,,,,,
362686,0.15,31,0.00165,,,,,
362697,0.12,25,0.00132,,,,,
362708,0.08,17,0.00088,,,,,
362720,0.25,51,0.003,,,,,
362731,0.3,62,0.0033,,,,,
362742,0.34,69,0.00374,,,,,
362754,0.3,61,0.0036,,,,,
362765,0.25,52,0.00275,,,,,
362776,0.14,28,0.00154,,,,,
362790,0.14,29,0.00196,,,,,
362802,0.11,23,0.00132,,,,,
362812,0.31,64,0.0031,,,,,
362823,0.18,37,0.00198,,,,,
362834,0.15,31,0.00165,,,,,
362846,0.14,28,0.00168,,,,,
362857,0.29,60,0.00319,,,,,
362868,0.32,65,0.00352,,,,,
362880,0.26,54,0.00312,,,,,
362891,0.26,54,0.00286,,,,,
362902,0.13,26,0.00143,,,,,
362913,0.28,58,0.00308,,,,,
362925,0.15,30,0.0018,,,,,
362936,0.35,72,0.00385,,,,,
362947,0.12,24,0.00132,,,,,
362958,0.12,25,0.00132,,,,,
362969,0.38,77,0.00418,,,,,
362981,0.33,67,0.00396,,,,,
362992,0.14,28,0.00154,,,,,
363012,0.23,47,0.0046,,,,,
363037,0.16,33,0.004,,,,,
363048,0.4,81,0.0044,,,,,
363060,0.31,64,0.00372,,,,,
363071,0.29,60,0.00319,,,,,
363082,0.18,37,0.00198,,,,,
363094,0.25,51,0.003,,,,,
363105,0.3,62,0.0033,,,,,
363116,0.15,30,0.00165,,,,,
363127,0.34,69,0.00374,,,,,
363139,0.33,67,0.00396,,,,,
363149,0.27,56,0.0027,,,,,
363160,0.19,38,0.00209,,,,,
363171,0.13,27,0.00143,,,,,
363183,0.37,75,0.00444,,,,,
363197,0.19,38,0.00266,,,,,
363208,0.12,25,0.00132,,,,,
363219,0.33,68,0.00363,,,,,
363231,0.28,58,0.00336,,,,,
363242,0.33,67,0.00363,,,,,
363253,0.32,66,0.00352,,,,,
363265,0.15,30,0.0018,,,,,
363276,0.3,62,0.0033,,,,,
363287,0.14,29,0.00154,,,,,
363298,0.32,66,0.00352,,,,,
363310,0.33,68,0.00396,,,,,
363321,0.33,67,0.00363,,,,,
363332,0.31,63,0.00341,,,,,
363343,0.13,27,0.00143,,,,,
363355,0.22,45,0.00264,,,,,
363366,0.22,46,0.00242,,,,,
363377,0.13,27,0.00143,,,,,
363388,0.21,42,0.00231,,,,,
363400,0.25,52,0.003,,,,,
363410,0.22,46,0.0022,,,,,
363421,0.32,65,0.00352,,,,,
363432,0.29,60,0.00319,,,,,
363444,0.27,55,0.00324,,,,,
363455,0.33,67,0.00363,,,,,
363466,0.43,87,0.00473,,,,,
363478,0.35,72,0.0042,,,,,
363489,0.38,78,0.00418,,,,,
363500,0.22,44,0.00242,,,,,
363511,0.32,66,0.00352,,,,,
363523,0.26,54,0.00312,,,,,
363534,0.25,52,0.00275,,,,,
363545,0.37,76,0.00407,,,,,
363556,0.3,61,0.0033,,,,,
363568,0.2,41,0.0024,,,,,
363579,0.29,59,0.00319,,,,,
363588,0.23,47,0.00207,,,,,
363598,0.31,63,0.0031,,,,,
363610,0.22,46,0.00264,,,,,
363621,0.38,77,0.00418,,,,,
363632,0.32,65,0.00352,,,,,
363643,0.22,46,0.00242,,,,,
363655,0.29,60,0.00348,,,,,
363666,0.38,77,0.00418,,,,,
363677,0.21,42,0.00231,,,,,
363688,0.31,63,0.00341,,,,,
363700,0.23,48,0.00276,,,,,
363711,0.25,52,0.00275,,,,,
363722,0.29,59,0.00319,,,,,
363734,0.22,46,0.00264,,,,,
363745,0.33,67,0.00363,,,,,
363756,0.26,54,0.00286,,,,,
363767,0.24,49,0.00264,,,,,
363778,0.28,57,0.00308,,,,,
363789,0.22,46,0.00242,,,,,
363801,0.13,26,0.00156,,,,,
363811,0.13,26,0.0013,,,,,
363823,0.35,71,0.0042,,,,,
363834,0.28,58,0.00308,,,,,
363845,0.32,65,0.00352,,,,,
363856,0.14,29,0.00154,,,,,
363868,0.33,68,0.00396,,,,,
363879,0.3,62,0.0033,,,,,
363890,0.29,59,0.00319,,,,,
363901,0.16,33,0.00176,,,,,
363913,0.36,73,0.00432,,,,,
363924,0.24,50,0.00264,,,,,
363935,0.22,44,0.00242,,,,,
363947,0.32,65,0.00384,,,,,
363958,0.27,55,0.00297,,,,,
363972,0.35,71,0.0049,,,,,
363983,0.11,22,0.00121,,,,,
363994,0.23,48,0.00253,,,,,
364005,0.32,66,0.00352,,,,,
364016,0.19,38,0.00209,,,,,
364027,0.27,56,0.00297,,,,,
364039,0.33,67,0.00396,,,,,
364050,0.28,57,0.00308,,,,,
364061,0.36,73,0.00396,,,,,
364072,0.24,49,0.00264,,,,,
364084,0.36,73,0.00432,,,,,
364095,0.36,73,0.00396,,,,,
364106,0.37,75,0.00407,,,,,
364118,0.38,78,0.00456,,,,,
364129,0.35,71,0.00385,,,,,
364140,0.37,75,0.00407,,,,,
364151,0.34,69,0.00374,,,,,
364163,0.28,57,0.00336,,,,,
364174,0.14,28,0.00154,,,,,
364185,0.35,72,0.00385,,,,,
364196,0.38,78,0.00418,,,,,
364208,0.25,52,0.003,,,,,
364218,0.32,66,0.0032,,,,,
364229,0.37,76,0.00407,,,,,
364240,0.29,59,0.00319,,,,,
364252,0.2,41,0.0024,,,,,
364263,0.32,66,0.00352,,,,,
364274,0.13,27,0.00143,,,,,
364285,0.3,62,0.0033,,,,,
364297,0.33,68,0.00396,,,,,
364308,0.34,69,0.00374,,,,,
364319,0.23,48,0.00253,,,,,
364331,0.37,75,0.00444,,,,,
364342,0.26,54,0.00286,,,,,
364356,0.39,79,0.00546,,,,,
364367,0.21,43,0.00231,,,,,
364379,0.28,57,0.00336,,,,,
364390,0.38,78,0.00418,,,,,
364400,0.3,61,0.003,,,,,
364411,0.22,44,0.00242,,,,,
364423,0.22,44,0.00264,,,,,
364434,0.24,49,0.00264,,,,,
364445,0.38,78,0.00418,,,,,
364456,0.29,60,0.00319,,,,,
364468,0.31,63,0.00372,,,,,
364479,0.17,35,0.00187,,,,,
364490,0.29,59,0.00319,,,,,
364502,0.15,30,0.0018,,,,,
364513,0.12,24,0.00132,,,,,
364524,0.2,41,0.0022,,,,,
364535,0.24,50,0.00264,,,,,
364547,0.32,65,0.00384,,,,,
364558,0.31,63,0.00341,,,,,
364569,0.27,56,0.00297,,,,,
364580,0.22,44,0.00242,,,,,
364592,0.36,73,0.00432,,,,,
364603,0.29,59,0.00319,,,,,
364613,0.29,60,0.0029,,,,,
364624,0.22,44,0.00242,,,,,
364636,0.33,67,0.00396,,,,,
364647,0.3,61,0.0033,,,,,
364658,0.31,63,0.00341,,,,,
364669,0.26,54,0.00286,,,,,
364681,0.22,44,0.00264,,,,,
364692,0.28,58,0.00308,,,,,
364703,0.22,44,0.00242,,,,,
364715,0.22,46,0.00264,,,,,
364726,0.31,64,0.00341,,,,,
364740,0.33,67,0.00462,,,,,
364751,0.36,74,0.00396,,,,,
364763,0.34,69,0.00408,,,,,
364774,0.22,45,0.00242,,,,,
364785,0.15,31,0.00165,,,,,
364796,0.16,33,0.00176,,,,,
364808,0.16,32,0.00192,,,,,
364819,0.25,51,0.00275,,,,,
364829,0.19,38,0.0019,,,,,
364840,0.2,41,0.0022,,,,,
364852,0.23,47,0.00276,,,,,
364863,0.31,64,0.00341,,,,,
364874,0.36,74,0.00396,,,,,
364886,0.31,64,0.00372,,,,,
364897,0.22,45,0.00242,,,,,
364908,0.13,26,0.00143,,,,,
364919,0.33,67,0.00363,,,,,
364931,0.2,41,0.0024,,,,,
364942,0.25,51,0.00275,,,,,
364953,0.32,65,0.00352,,,,,
364964,0.24,49,0.00264,,,,,
364976,0.33,67,0.00396,,,,,
364987,0.21,43,0.00231,,,,,
364998,0.23,48,0.00253,,,,,
365008,0.3,61,0.003,,,,,
365020,0.22,45,0.00264,,,,,
365031,0.16,32,0.00176,,,,,
365042,0.27,56,0.00297,,,,,
365053,0.24,49,0.00264,,,,,
365065,0.32,66,0.00384,,,,,
365076,0.24,49,0.00264,,,,,
365087,0.27,55,0.00297,,,,,
365099,0.24,50,0.00288,,,,,
365110,0.34,69,0.00374,,,,,
365124,0.22,44,0.00308,,,,,
365135,0.22,46,0.00242,,,,,
365147,0.34,70,0.00408,,,,,
365157,0.3,61,0.003,,,,,
365168,0.23,47,0.00253,,,,,
365179,0.12,25,0.00132,,,,,
365191,0.23,48,0.00276,,,,,
365202,0.23,47,0.00253,,,,,
